t_s,status,latency_ms,note
98.265,200,421.93,
98.675,200,409.33,
99.094,200,419.55,
99.512,200,417.5,
99.916,200,403.83,
100.322,200,405.76,
100.73,200,408.53,
101.135,200,405.05,
101.555,200,420.26,
101.965,200,409.71,
102.383,200,417.74,
102.848,200,464.56,
103.377,200,529.19,
103.823,200,446.1,
104.272,200,449.15,
104.719,200,446.61,
105.185,200,466.2,
105.683,200,498.58,
106.238,200,554.53,
106.679,200,440.71,
107.14,200,460.99,
107.566,200,425.9,
107.989,200,423.16,
108.411,200,422.18,
108.84,200,429.37,
109.277,200,437.0,
109.713,200,435.73,
110.127,200,414.03,
110.534,200,407.2,
110.947,200,412.63,
111.364,200,416.47,
111.77,200,405.94,
112.183,200,413.52,
112.6,200,417.09,
113.017,200,417.22,
113.444,200,426.28,
113.852,200,407.98,
114.269,200,417.04,
114.687,200,418.2,
115.1,200,412.61,
115.524,200,424.4,
115.938,200,414.01,
116.357,200,419.29,
116.777,200,419.81,
117.203,200,425.94,
117.613,200,410.02,
118.02,200,406.44,
118.436,200,415.9,
118.849,200,413.82,
119.332,200,482.78,
119.647,200,314.97,
119.888,200,241.11,
120.341,200,452.35,
120.782,200,441.56,
121.276,200,494.14,
121.736,200,459.26,
122.175,200,439.7,
122.599,200,423.89,
123.02,200,420.86,
123.237,200,216.93,
123.662,200,425.26,
123.88,200,217.27,
124.096,200,216.61,
124.509,200,412.15,
124.72,200,211.36,
124.936,200,215.81,
125.149,200,213.37,
125.356,200,207.07,
125.766,200,409.79,
126.188,200,421.48,
126.604,200,416.62,
127.022,200,417.37,
127.242,200,220.08,
127.677,200,435.61,
128.093,200,415.99,
128.501,200,407.5,
128.72,200,218.89,
128.952,200,231.66,
129.362,200,410.0,
129.784,200,422.74,
129.993,200,208.99,
130.401,200,407.83,
130.813,200,412.09,
131.032,200,218.65,
131.449,200,417.27,
131.874,200,424.32,
132.09,200,216.9,
132.499,200,408.35,
132.732,200,232.79,
132.963,200,230.95,
133.378,200,415.53,
133.6,200,222.02,
133.808,200,207.54,
134.03,200,222.44,
134.239,200,208.66,
134.653,200,414.04,
134.871,200,217.88,
135.19,200,319.23,
135.486,200,296.08,
136.159,200,672.98,
136.422,200,262.56,
136.647,200,225.36,
136.874,200,226.36,
137.098,200,224.93,
137.334,200,235.96,
137.548,200,213.61,
137.758,200,210.02,
137.97,200,211.86,
138.178,200,207.7,
138.388,200,210.13,
138.605,200,217.0,
138.815,200,209.67,
139.038,200,222.96,
139.243,200,205.6,
139.452,200,208.92,
139.667,200,215.06,
139.877,200,210.04,
140.112,200,234.49,
140.318,200,206.61,
140.527,200,208.46,
140.75,200,222.75,
140.956,200,206.08,
141.178,200,222.37,
141.386,200,207.61,
141.598,200,211.93,
141.813,200,215.57,
142.022,200,208.49,
142.241,200,219.02,
142.449,200,208.55,
142.657,200,207.36,
142.879,200,222.12,
143.092,200,213.18,
143.318,200,225.76,
143.531,200,213.09,
143.745,200,214.01,
143.964,200,219.18,
144.179,200,214.51,
144.394,200,215.56,
144.607,200,212.3,
144.821,200,214.38,
145.1,200,278.91,
145.345,200,245.25,
145.554,200,209.15,
145.776,200,221.29,
145.981,200,205.24,
146.204,200,223.33,
146.418,200,214.2,
146.631,200,212.9,
146.865,200,233.5,
147.075,200,210.47,
147.326,200,250.82,
147.533,200,206.58,
147.743,200,209.75,
147.955,200,212.24,
148.16,200,204.92,
148.375,200,214.88,
148.583,200,208.0,
148.803,200,219.83,
149.021,200,218.7,
149.233,200,211.93,
149.45,200,216.85,
149.657,200,206.8,
149.861,200,204.18,
150.087,200,225.43,
150.313,200,226.45,
150.582,200,268.63,
150.953,200,371.23,
151.375,200,421.79,
151.599,200,223.65,
151.817,200,218.11,
152.029,200,212.4,
152.256,200,227.16,
152.476,200,219.69,
152.693,200,216.71,
152.912,200,218.84,
153.123,200,211.3,
153.352,200,228.72,
153.559,200,207.66,
153.784,200,224.37,
153.993,200,209.33,
154.206,200,213.19,
154.429,200,222.81,
154.643,200,214.12,
154.859,200,215.59,
155.086,200,226.75,
155.307,200,221.78,
155.522,200,214.23,
155.748,200,226.09,
155.974,200,226.54,
156.195,200,220.55,
156.404,200,209.11,
156.613,200,208.78,
156.829,200,216.34,
157.044,200,214.95,
157.272,200,228.0,
157.484,200,211.78,
157.722,200,238.52,
157.945,200,222.92,
158.163,200,217.53,
158.38,200,216.96,
158.593,200,212.8,
158.816,200,222.95,
159.038,200,221.76,
159.251,200,213.63,
159.477,200,225.6,
159.701,200,223.78,
159.91,200,209.54,
160.149,200,238.94,
160.362,200,212.94,
160.576,200,214.06,
160.797,200,220.96,
161.007,200,209.43,
161.227,200,220.64,
161.441,200,213.62,
161.663,200,221.87,
161.913,200,250.63,
162.132,200,219.0,
162.355,200,222.13,
162.586,200,231.63,
162.807,200,220.31,
163.035,200,228.49,
163.248,200,212.9,
