t_s,status,latency_ms,note
0.305,200,304.63,
0.518,200,213.81,
0.737,200,218.87,
0.948,200,210.4,
1.21,200,262.53,
1.417,200,206.5,
1.625,200,208.29,
1.836,200,210.46,
2.037,200,201.65,
2.248,200,210.51,
2.456,200,207.9,
2.658,200,202.51,
2.862,200,203.32,
3.077,200,214.95,
3.281,200,204.52,
3.483,200,202.22,
3.697,200,213.54,
3.916,200,219.2,
4.126,200,209.49,
4.33,200,204.16,
4.561,200,231.04,
4.779,200,218.37,
4.996,200,216.34,
5.209,200,213.55,
5.429,200,219.66,
5.638,200,209.22,
5.942,200,303.8,
6.165,200,222.96,
6.383,200,218.02,
6.589,200,205.66,
6.793,200,204.73,
7.011,200,217.56,
7.219,200,208.25,
7.581,200,361.59,
7.809,200,227.7,
8.021,200,212.17,
8.244,200,223.44,
8.463,200,218.36,
8.678,200,215.35,
8.897,200,219.18,
9.127,200,229.73,
9.33,200,203.02,
9.543,200,213.34,
9.755,200,211.61,
9.963,200,208.33,
10.214,200,250.56,
10.421,200,206.89,
10.641,200,219.99,
10.852,200,211.01,
11.057,200,205.31,
11.311,200,253.36,
11.518,200,207.74,
11.722,200,204.14,
11.935,200,212.76,
12.157,200,221.34,
12.371,200,214.09,
12.613,200,241.99,
12.822,200,209.16,
13.038,200,215.7,
13.243,200,205.61,
13.445,200,202.11,
13.666,200,220.39,
13.887,200,221.19,
14.098,200,210.64,
14.3,200,202.55,
14.519,200,218.54,
14.736,200,217.73,
14.957,200,220.27,
15.175,200,218.43,
15.38,200,204.33,
15.587,200,207.82,
15.808,200,220.73,
16.032,200,224.13,
16.248,200,215.99,
16.452,200,203.97,
16.665,200,213.16,
16.877,200,211.29,
17.087,200,210.2,
17.302,200,214.82,
17.504,200,201.84,
17.707,200,203.46,
17.914,200,207.04,
18.14,200,225.98,
18.344,200,203.76,
18.566,200,222.39,
18.819,200,252.68,
19.115,200,295.87,
19.362,200,246.78,
19.609,200,246.82,
19.849,200,240.27,
20.065,200,215.9,
20.291,200,225.71,
20.498,200,207.73,
20.71,200,211.31,
20.969,200,259.37,
21.174,200,205.4,
21.384,200,209.25,
21.59,200,206.09,
21.792,200,202.21,
21.999,200,207.14,
22.256,200,256.55,
22.543,200,286.94,
22.765,200,222.04,
23.193,200,428.61,
23.411,200,217.76,
23.623,200,211.38,
23.827,200,204.82,
24.033,200,205.29,
24.233,200,199.93,
24.45,200,217.08,
24.654,200,204.37,
24.861,200,206.52,
25.066,200,205.25,
25.274,200,208.48,
25.487,200,212.5,
25.698,200,210.92,
25.913,200,214.93,
26.143,200,229.8,
26.348,200,204.93,
26.557,200,209.3,
26.769,200,212.4,
26.981,200,211.6,
27.186,200,204.57,
27.396,200,210.31,
27.621,200,225.06,
27.834,200,212.71,
28.042,200,208.63,
28.257,200,214.42,
28.46,200,202.72,
28.668,200,208.06,
28.877,200,209.53,
29.086,200,208.35,
29.297,200,211.05,
29.507,200,209.72,
29.717,200,210.71,
29.928,200,210.5,
30.145,200,217.16,
30.414,200,268.95,
30.625,200,210.93,
30.85,200,224.74,
31.056,200,206.38,
31.272,200,216.13,
31.489,200,216.76,
31.69,200,201.22,
31.91,200,220.08,
32.128,200,217.44,
32.33,200,201.99,
32.613,200,283.43,
32.815,200,201.87,
33.022,200,207.02,
33.231,200,208.74,
33.441,200,210.04,
33.682,200,241.36,
33.918,200,235.72,
34.127,200,208.52,
34.347,200,220.43,
34.566,200,218.62,
34.78,200,214.12,
34.983,200,203.31,
35.19,200,206.37,
35.408,200,218.57,
