t_s,status,latency_ms,note
0.341,200,340.56,
0.554,200,213.7,
0.766,200,212.14,
0.97,200,203.81,
1.185,200,214.81,
1.394,200,208.63,
1.601,200,207.53,
1.832,200,230.55,
2.048,200,216.6,
2.275,200,226.16,
2.551,200,276.43,
2.821,200,270.18,
3.034,200,213.09,
3.245,200,210.39,
3.461,200,216.6,
3.677,200,215.39,
3.892,200,214.91,
4.111,200,218.79,
4.331,200,220.5,
4.555,200,224.07,
4.762,200,206.54,
4.978,200,216.3,
5.198,200,220.01,
5.41,200,212.29,
5.777,200,366.14,
5.995,200,218.58,
6.368,200,373.2,
6.643,200,274.23,
6.849,200,206.54,
7.066,200,216.29,
7.277,200,211.97,
7.524,200,246.89,
7.741,200,216.47,
7.966,200,224.63,
8.19,200,224.92,
8.403,200,212.19,
8.612,200,209.41,
8.827,200,214.67,
9.042,200,215.46,
9.27,200,227.73,
9.483,200,212.93,
9.692,200,208.9,
9.908,200,215.68,
10.113,200,205.21,
10.331,200,217.81,
10.541,200,210.08,
10.766,200,225.19,
10.97,200,203.99,
11.188,200,217.81,
11.396,200,207.85,
11.605,200,209.66,
11.819,200,213.35,
12.028,200,209.65,
12.25,200,221.85,
12.459,200,208.85,
12.668,200,208.37,
12.895,200,227.83,
13.105,200,209.69,
13.331,200,225.88,
13.54,200,208.58,
13.746,200,206.81,
13.965,200,218.29,
14.186,200,221.3,
14.405,200,219.19,
14.626,200,220.71,
14.832,200,206.09,
15.043,200,210.88,
15.257,200,214.21,
15.473,200,215.55,
15.748,200,275.23,
15.959,200,211.31,
16.17,200,210.95,
16.389,200,218.76,
16.592,200,203.1,
16.803,200,210.56,
17.018,200,214.72,
17.225,200,207.24,
17.452,200,226.68,
17.662,200,210.25,
17.882,200,219.85,
18.096,200,214.26,
18.314,200,218.04,
18.534,200,219.83,
18.744,200,209.87,
18.962,200,218.07,
19.181,200,218.74,
19.404,200,223.52,
19.632,200,227.46,
19.836,200,204.51,
20.051,200,214.73,
20.262,200,210.9,
20.472,200,209.97,
20.857,200,385.15,
21.112,200,254.75,
21.739,200,626.86,
21.957,200,218.69,
22.177,200,219.93,
22.396,200,219.01,
22.61,200,213.06,
22.855,200,245.08,
23.067,200,211.94,
23.275,200,208.42,
23.488,200,212.96,
23.696,200,207.71,
23.913,200,217.58,
24.125,200,211.82,
24.334,200,209.15,
24.571,200,236.86,
24.804,200,232.73,
25.021,200,216.7,
25.247,200,226.43,
25.467,200,220.22,
25.715,200,247.83,
25.926,200,210.83,
26.134,200,208.14,
26.359,200,224.45,
26.57,200,211.12,
26.78,200,210.33,
26.995,200,214.7,
27.204,200,209.28,
27.415,200,210.47,
27.619,200,204.68,
27.834,200,214.27,
28.045,200,211.15,
28.257,200,212.23,
28.482,200,225.12,
28.692,200,209.48,
28.906,200,214.52,
29.116,200,209.22,
29.327,200,211.48,
29.537,200,210.21,
29.744,200,206.84,
29.962,200,218.19,
30.178,200,215.44,
30.454,200,276.18,
30.715,200,260.83,
30.926,200,211.04,
31.142,200,215.56,
31.356,200,214.76,
31.569,200,212.19,
31.782,200,213.78,
31.997,200,214.32,
32.222,200,225.04,
32.443,200,221.16,
32.656,200,212.69,
32.89,200,234.0,
33.101,200,211.27,
33.314,200,212.97,
33.525,200,211.54,
33.734,200,208.64,
33.952,200,217.57,
34.158,200,206.31,
34.371,200,213.03,
34.587,200,216.12,
34.795,200,207.4,
35.018,200,223.55,
35.233,200,214.67,
35.439,200,205.86,
35.674,200,235.46,
35.905,200,230.58,
36.12,200,214.85,
36.347,200,227.72,
36.562,200,214.4,
36.803,200,240.65,
37.023,200,220.76,
37.236,200,213.17,
37.48,200,243.29,
37.689,200,208.85,
37.902,200,213.66,
38.122,200,219.6,
38.362,200,240.48,
38.576,200,213.38,
38.794,200,217.84,
39.015,200,220.77,
39.227,200,212.78,
39.443,200,215.86,
39.651,200,207.73,
39.859,200,208.14,
40.072,200,212.77,
40.286,200,214.07,
40.507,200,220.57,
40.768,200,261.31,
40.969,200,201.56,
41.175,200,205.35,
41.397,200,222.42,
41.605,200,207.89,
41.815,200,210.12,
42.027,200,211.92,
42.247,200,219.6,
42.46,200,213.33,
42.668,200,207.67,
42.895,200,227.44,
43.103,200,207.37,
43.315,200,212.35,
43.529,200,214.05,
43.733,200,203.81,
43.947,200,213.99,
44.157,200,210.05,
44.435,200,277.94,
44.649,200,214.11,
44.861,200,212.19,
45.086,200,225.05,
45.312,200,225.72,
45.524,200,211.41,
45.772,200,248.54,
45.975,200,203.25,
46.188,200,212.35,
46.401,200,212.88,
46.611,200,210.19,
46.834,200,222.73,
47.044,200,210.57,
47.258,200,213.53,
47.467,200,209.61,
47.676,200,208.07,
47.89,200,214.84,
48.095,200,204.77,
48.311,200,215.74,
48.528,200,217.41,
48.736,200,207.88,
48.953,200,217.12,
49.165,200,211.45,
49.382,200,217.19,
49.595,200,212.61,
49.802,200,206.92,
50.032,200,229.94,
50.257,200,225.46,
50.486,200,228.88,
50.844,200,358.31,
51.306,200,461.29,
51.701,200,395.17,
51.916,200,214.78,
52.129,200,213.37,
52.34,200,210.58,
52.558,200,218.08,
52.768,200,210.29,
52.972,200,204.33,
53.188,200,216.08,
53.41,200,221.73,
53.625,200,214.54,
53.829,200,204.06,
54.033,200,203.78,
54.25,200,217.51,
54.467,200,216.93,
54.682,200,215.28,
54.894,200,211.31,
55.101,200,206.75,
55.317,200,216.13,
55.527,200,210.39,
55.75,200,222.73,
55.955,200,205.04,
56.174,200,219.42,
56.378,200,203.82,
56.59,200,211.45,
56.813,200,223.28,
57.023,200,210.15,
57.246,200,223.04,
57.462,200,215.77,
57.67,200,207.76,
57.888,200,218.49,
58.1,200,211.2,
58.32,200,220.62,
58.545,200,224.67,
58.755,200,210.43,
58.973,200,217.81,
59.186,200,213.13,
59.402,200,215.92,
59.609,200,206.76,
59.816,200,206.8,
60.027,200,211.53,
60.236,200,208.9,
60.515,200,278.92,
60.777,200,261.36,
60.985,200,208.23,
61.197,200,212.55,
61.404,200,206.86,
61.613,200,208.98,
61.836,200,223.09,
62.046,200,209.62,
62.268,200,222.19,
62.483,200,215.13,
62.694,200,210.94,
62.916,200,221.42,
63.124,200,208.2,
63.341,200,217.05,
63.545,200,204.32,
63.749,200,203.88,
63.967,200,217.58,
64.173,200,206.09,
64.39,200,217.18,
64.614,200,223.57,
64.821,200,207.6,
65.036,200,214.89,
65.246,200,209.86,
65.461,200,214.89,
65.773,200,312.22,
65.989,200,215.7,
66.237,200,248.33,
66.516,200,278.26,
66.784,200,268.62,
67.013,200,228.7,
67.23,200,216.78,
67.463,200,233.16,
67.669,200,206.12,
67.874,200,205.06,
68.091,200,217.09,
68.301,200,210.03,
68.549,200,247.98,
68.768,200,218.93,
68.982,200,213.87,
69.2,200,217.93,
69.412,200,211.61,
69.634,200,222.06,
69.839,200,205.43,
70.047,200,207.46,
70.263,200,215.7,
70.469,200,206.04,
70.76,200,291.14,
70.971,200,210.98,
71.176,200,205.17,
71.391,200,215.21,
71.603,200,211.3,
71.815,200,212.34,
72.027,200,211.69,
72.235,200,208.84,
72.456,200,220.55,
72.663,200,206.46,
72.899,200,236.42,
73.109,200,210.45,
73.329,200,219.28,
73.542,200,213.27,
73.748,200,206.25,
73.965,200,216.88,
74.26,200,294.63,
74.518,200,257.97,
74.756,200,238.46,
74.981,200,224.63,
75.205,200,224.33,
75.409,200,203.65,
75.619,200,210.24,
75.825,200,205.96,
76.037,200,211.28,
76.25,200,213.19,
76.462,200,211.78,
76.675,200,213.65,
76.885,200,209.49,
77.109,200,224.22,
77.34,200,231.33,
77.555,200,214.23,
77.78,200,225.42,
77.991,200,211.08,
78.2,200,208.45,
78.419,200,219.48,
78.642,200,223.23,
78.878,200,235.69,
79.09,200,211.63,
79.298,200,208.45,
79.524,200,225.31,
79.746,200,222.42,
79.966,200,220.23,
80.21,200,244.03,
80.435,200,224.87,
80.801,200,365.23,
81.076,200,275.94,
81.572,200,495.11,
81.796,200,224.48,
82.005,200,209.37,
82.23,200,224.27,
82.438,200,208.08,
82.651,200,213.44,
82.894,200,242.36,
83.107,200,213.04,
83.329,200,222.36,
83.542,200,213.11,
83.751,200,208.4,
83.969,200,218.42,
84.18,200,210.76,
84.435,200,254.98,
84.662,200,227.0,
84.879,200,217.08,
85.115,200,235.94,
85.327,200,211.71,
85.556,200,229.02,
85.806,200,250.01,
86.031,200,224.65,
86.321,200,290.88,
86.537,200,216.07,
86.749,200,211.55,
86.967,200,217.92,
87.178,200,211.43,
87.402,200,223.54,
87.608,200,206.35,
87.831,200,222.54,
88.036,200,204.86,
88.241,200,204.89,
88.469,200,228.57,
88.678,200,208.44,
88.902,200,224.15,
89.136,200,234.33,
89.384,200,247.61,
89.611,200,227.13,
89.841,200,230.0,
90.054,200,213.14,
90.276,200,221.29,
90.558,200,282.76,
90.815,200,256.8,
91.065,200,250.17,
91.304,200,238.66,
91.52,200,216.31,
91.746,200,225.45,
91.967,200,221.23,
92.173,200,205.82,
92.414,200,241.03,
92.647,200,233.02,
92.971,200,323.59,
93.185,200,214.13,
93.389,200,204.0,
93.626,200,237.55,
93.838,200,211.09,
94.046,200,208.13,
94.262,200,215.98,
94.47,200,208.8,
94.7,200,229.02,
94.91,200,210.75,
95.134,200,223.41,
95.356,200,221.76,
95.56,200,204.47,
95.876,200,315.85,
96.105,200,229.38,
96.369,200,263.3,
96.597,200,228.45,
96.905,200,307.73,
97.143,200,238.64,
97.362,200,218.63,
97.579,200,216.69,
97.798,200,219.05,
98.006,200,208.23,
98.221,200,214.59,
98.44,200,219.37,
98.667,200,226.67,
98.875,200,208.5,
99.087,200,211.35,
99.306,200,219.13,
99.519,200,212.76,
99.737,200,218.82,
99.943,200,205.89,
100.151,200,207.44,
100.367,200,215.91,
100.574,200,207.23,
100.791,200,216.66,
101.0,200,209.31,
101.247,200,247.43,
101.455,200,207.95,
101.665,200,209.22,
101.884,200,219.1,
102.108,200,224.01,
102.327,200,219.48,
102.54,200,212.79,
102.75,200,210.28,
102.977,200,226.08,
103.19,200,213.68,
103.405,200,215.04,
103.617,200,211.48,
103.827,200,210.43,
104.036,200,209.02,
104.24,200,203.99,
104.474,200,233.5,
104.683,200,209.39,
104.896,200,212.79,
105.112,200,216.35,
105.323,200,210.3,
105.538,200,214.88,
105.757,200,219.88,
105.973,200,215.38,
106.186,200,212.77,
106.41,200,223.83,
106.618,200,208.09,
106.851,200,233.13,
107.254,200,403.16,
107.472,200,218.09,
107.711,200,238.72,
107.941,200,229.96,
108.176,200,235.38,
108.383,200,206.69,
108.591,200,208.21,
108.861,200,270.2,
109.068,200,206.86,
109.295,200,226.17,
109.504,200,209.86,
109.717,200,212.45,
109.933,200,216.48,
110.14,200,206.97,
110.353,200,212.81,
110.569,200,215.54,
110.898,200,328.95,
111.233,200,335.33,
111.694,200,460.85,
111.893,200,198.7,data-service respondió con error
112.113,200,219.78,
112.331,200,218.61,
112.543,200,211.66,
112.759,200,215.75,
112.983,200,224.15,
113.21,200,227.27,
113.41,200,200.32,data-service respondió con error
113.622,200,212.01,
113.842,200,219.57,
114.049,200,207.02,
114.265,200,216.24,
114.478,200,212.33,
114.66,200,182.08,data-service respondió con error
114.875,200,215.01,
115.081,200,205.86,
115.292,200,211.72,
115.497,200,204.02,
115.745,200,248.59,
115.952,200,207.35,
116.16,200,207.35,
116.385,200,225.44,
116.614,200,228.36,
116.825,200,211.48,
117.052,200,226.63,
117.265,200,213.57,
117.501,200,235.76,
117.711,200,210.27,
117.941,200,229.73,
118.152,200,210.61,
118.365,200,213.19,
118.585,200,219.72,
118.791,200,206.13,
118.982,200,190.55,data-service respondió con error
119.203,200,221.05,
119.419,200,216.35,
119.635,200,216.04,
119.845,200,210.49,
120.061,200,215.34,
120.279,200,218.33,
120.482,200,202.58,
120.786,200,304.46,
120.991,200,204.32,
121.197,200,206.59,
121.388,200,191.21,data-service respondió con error
121.597,200,208.2,
121.808,200,210.92,
122.017,200,208.87,
122.227,200,210.7,
122.445,200,217.86,
122.659,200,213.74,
122.893,200,233.77,
123.075,200,181.72,data-service respondió con error
123.288,200,213.77,
123.502,200,213.27,
123.707,200,205.56,
123.923,200,215.49,
124.129,200,206.55,
124.338,200,208.24,
124.552,200,214.17,
124.757,200,205.54,
124.967,200,209.84,
125.18,200,212.65,
125.387,200,207.05,
125.672,200,285.5,
126.158,200,486.04,
126.668,200,509.49,
126.982,200,314.1,
127.219,200,237.12,
127.441,200,222.13,
127.645,200,203.93,
127.856,200,210.26,
128.079,200,223.47,
128.293,200,213.83,
128.551,200,258.29,
128.766,200,214.62,
128.982,200,215.61,
129.198,200,216.01,
129.413,200,215.72,
129.631,200,217.76,
129.842,200,210.72,
130.047,200,205.53,
130.272,200,224.3,
130.478,200,206.5,
130.746,200,267.42,
130.954,200,208.53,
131.167,200,212.3,
131.384,200,217.24,
131.597,200,213.2,
131.811,200,213.62,
132.018,200,207.62,
132.231,200,212.78,
132.449,200,217.56,
132.658,200,209.15,
132.891,200,232.7,
133.102,200,211.06,
133.315,200,212.92,
133.537,200,222.46,
133.722,200,185.2,data-service respondió con error
133.943,200,220.3,
134.15,200,207.26,
134.365,200,214.65,
134.585,200,220.52,
134.793,200,208.03,
135.007,200,213.5,
135.218,200,211.44,
135.426,200,208.1,
135.649,200,222.88,
135.853,200,203.8,
136.067,200,214.07,
136.287,200,220.14,
136.492,200,204.11,
136.7,200,208.49,
136.934,200,233.83,
137.161,200,226.71,
137.393,200,232.12,
137.601,200,208.37,
137.811,200,210.14,
138.034,200,222.29,
138.242,200,208.25,
138.475,200,233.01,
138.691,200,215.74,
138.909,200,218.07,
139.127,200,218.35,
139.336,200,208.74,
139.548,200,212.41,
139.759,200,210.45,
139.942,200,182.95,data-service respondió con error
140.162,200,220.56,
140.371,200,208.48,
140.591,200,219.88,
140.903,200,312.24,
141.114,200,210.87,
141.584,200,469.63,
141.794,200,210.85,
142.014,200,219.59,
142.222,200,208.13,
142.437,200,214.61,
142.651,200,213.9,
142.875,200,224.47,
143.091,200,215.66,
143.301,200,210.1,
143.482,200,181.12,data-service respondió con error
143.709,200,227.21,
143.924,200,214.14,
144.143,200,219.57,
144.361,200,217.6,
144.572,200,211.09,
144.79,200,218.34,
